Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Country,Gender,Timestamp,Clicked on Ad
76.06,23,58633.63,201.04,Diverse multi-tasking parallelism,New Tinamouth,Brunei Darussalam,Female,4/27/16 4:28,No
66.67,33,72707.87,228.03,Horizontal content-based synergy,Turnerview,Taiwan,Male,4/21/16 20:29,No
46.77,32,31092.93,136.4,Multi-tiered maximized archive,Reneechester,Serbia,Male,3/23/16 6:00,Yes
62.42,38,74445.18,143.94,Diverse executive groupware,West Tinashire,Saint Pierre and Miquelon,Female,7/19/16 7:59,Yes
78.32,28,49309.14,239.52,Synergized cohesive array,Jamesfurt,Australia,Male,6/26/16 11:52,Yes
37.32,50,56735.14,199.25,Versatile dedicated software,New Nancy,Chad,Male,3/30/16 23:40,Yes
40.42,45,40183.75,133.9,Stand-alone reciprocal synergy,Lisamouth,Norway,Female,3/16/16 7:59,Yes
76.77,36,58348.41,123.51,Universal even-keeled analyzer,Harveyport,Turks and Caicos Islands,Female,5/4/16 0:01,Yes
65.65,30,72209.99,158.05,Up-sized tertiary contingency,Ramosstad,Finland,Male,7/2/16 21:22,No
74.32,33,62060.11,128.17,Monitored real-time superstructure,North Kevinside,South Africa,Female,5/23/16 21:14,Yes
73.27,32,67113.46,234.75,Streamlined analyzing initiative,Haleview,Martinique,Male,1/29/16 20:16,No
80.03,44,24030.06,150.84,Automated static concept,Christinetown,Afghanistan,Female,7/23/16 14:47,Yes
53.68,47,56180.93,115.26,Operative stable moderator,New Michael,Micronesia,Male,2/16/16 9:11,Yes
85.84,32,62204.93,192.85,Up-sized 6thgeneration moratorium,Jonesland,French Southern Territories,Female,6/9/16 21:43,No
85.03,30,60372.64,204.52,Expanded clear-thinking core,North Shannon,Philippines,Female,6/19/16 9:24,No
70.44,24,65280.16,178.75,Polarized attitude-oriented superstructure,New Sonialand,Algeria,Female,6/6/16 21:26,No
81.22,53,34309.24,223.09,Networked coherent interface,Port Jason,San Marino,Female,1/7/16 13:25,No
